Rk,Player,ScoreURL,Games,GamesStarted,Yrs,PB,AP1,ApproxValue
2084,Joshua Perry,PerrJo01,15,1,1,0,0,1
2085,Kealoha Pilares,PilaKe00,20,0,2,0,0,1
2086,David Pittman,PittDa99,7,1,1,0,0,1
2087,Ronald Powell,PoweRo01,14,0,1,0,0,1
2088,Ty Powell,PoweTy00,19,0,2,0,0,1
2089,Walt Powell,PoweWa00,15,2,3,0,0,1
2090,DeMario Pressley,PresDe99,8,0,2,0,0,1
2091,Jabari Price,PricJa00,14,0,1,0,0,1
2092,Taylor Price,PricTa00,6,0,3,0,0,1
2093,MyCole Pruitt,PruiMy00,20,3,2,0,0,1
2094,Myron Pryor,PryoMy99,24,2,4,0,0,1
2095,Chris Rainey,RainCh00,18,0,2,0,0,1
2096,Kheeston Randall,RandKh00,12,0,1,0,0,1
2097,Sheldon Rankins,RankSh00,9,0,1,0,0,1
2098,Willie Reid,ReidWi00,7,0,2,0,0,1
2099,Darryl Roberts,RobeDa00,12,2,1,0,0,1
2100,Travian Robertson,RobeTr00,14,0,3,0,0,1
2101,Ramzee Robinson,RobiRa99,26,0,3,0,0,1
2102,KeiVarae Russell,RussKe00,5,0,1,0,0,1
2103,Ryan Russell,RussRy00,9,0,2,0,0,1
2104,James Sample,SampJa00,4,2,1,0,0,1
2105,Zack Sanchez,SancZa00,5,1,1,0,0,1
2106,Ricky Sapp,SappRi99,17,0,3,0,0,1
2107,Tyler Sash,SashTy00,23,0,2,0,0,1
2108,Tom Savage,SavaTo00,5,2,2,0,0,1
2109,Caleb Schlauderaff,SchlCa00,12,1,3,0,0,1
2110,Owen Schmitt,SchmOw00,74,16,5,0,0,1
2111,Nick Schommer,SchoNi99,13,0,1,0,0,1
2112,Da'Rel Scott,ScotDa01,20,1,3,0,0,1
2113,Greg Scruggs,ScruGr00,18,0,4,0,0,1
2114,Kevon Seymour,SeymKe00,15,3,1,0,0,1
2115,Cameron Sheffield,ShefCa99,17,1,2,0,0,1
2116,Austin Shepherd,ShepAu00,14,0,1,0,0,1
2117,JaCorey Shepherd,ShepJa00,10,0,1,0,0,1
2118,Bryan Smith,SmitBr96,6,2,1,0,0,1
2119,DeAngelo Smith,SmitDe98,7,1,1,0,0,1
2120,Devin Smith,SmitDe04,14,3,2,0,0,1
2121,Quanterus Smith,SmitQu00,15,0,1,0,0,1
2122,Rusty Smith,SmitRu01,3,1,2,0,0,1
2123,Ryan Smith,SmitRy00,14,0,1,0,0,1
2124,Dezmen Southward,SoutDe00,19,0,2,0,0,1
2125,Charles Spencer,SpenCh20,2,2,1,0,0,1
2126,Derek Stanley,StanDe00,15,0,3,0,0,1
2127,Syndric Steptoe,StepSy20,16,5,1,0,0,1
2128,Neal Sterling,SterNe00,19,1,2,0,0,1
2129,Tony Steward,StewTo01,7,0,1,0,0,1
2130,Devin Street,StreDe00,34,2,3,0,0,1
2131,Frank Summers,SummFr00,27,16,3,0,0,1
2132,Geoff Swaim,SwaiGe00,13,7,2,0,0,1
2133,Brett Swain,SwaiBr00,27,2,3,0,0,1
2134,Damian Swann,SwanDa02,7,2,1,0,0,1
2135,Limas Sweed,SweeLi00,20,0,2,0,0,1
2136,Brandon Taylor,TaylBr02,4,1,1,0,0,1
2137,Courtney Taylor,TaylCo00,18,4,2,0,0,1
2138,Curtis Taylor,TaylCu99,13,0,4,0,0,1
2139,Herbert Taylor,TaylHe21,20,2,3,0,0,1
2140,Hilee Taylor,TaylHi99,16,0,2,0,0,1
2141,John Theus,TheuJo00,4,1,1,0,0,1
2142,Jaimie Thomas,ThomJa22,8,0,1,0,0,1
2143,Brandyn Thompson,ThomBr00,6,0,1,0,0,1
2144,Jeremy Thompson,ThomJe99,15,3,2,0,0,1
2145,Syd'Quan Thompson,ThomSy99,13,0,1,0,0,1
2146,Michael Toudouze,ToudMi20,9,1,4,0,0,1
2147,Adrian Tracy,TracAd99,16,0,1,0,0,1
2148,Patrick Turner,TurnPa00,24,1,4,0,0,1
2149,Julian Vandervelde,VandJu00,17,0,5,0,0,1
2150,David Veikune,VeikDa99,14,0,2,0,0,1
2151,Nick Vigil,VigiNi00,16,0,1,0,0,1
2152,Aaron Wallace,WallAa00,10,0,1,0,0,1
2153,Darren Waller,WallDa01,18,4,2,0,0,1
2154,Jeremy Ware,WareJe99,8,0,1,0,0,1
2155,Rokevious Watkins,WatkRo00,4,1,2,0,0,1
2156,Todd Watkins,WatkTo20,21,1,2,0,0,1
2157,Derek Watt,WattDe00,16,2,1,0,0,1
2158,Dee Webb,WebbDe20,11,1,1,0,0,1
2159,Terrence Wheatley,WheaTe99,12,1,3,0,0,1
2160,D.J. White,WhitD.00,11,0,1,0,0,1
2161,Kevin White,WhitKe00,4,4,1,0,0,1
2162,Pat White,WhitPa01,13,0,1,0,0,1
2163,D.J. Williams,WillD.00,35,3,3,0,0,1
2164,Jonathan Williams,WillJo07,10,0,1,0,0,1
2165,P.J. Williams,WillP.00,2,2,1,0,0,1
2166,Ryan Williams,WillRy00,5,3,1,0,0,1
2167,Thomas Williams,WillTh99,15,2,3,0,0,1
2168,C.J. Wilson,WilsC.99,23,0,4,0,0,1
2169,Dwayne Wright,WrigDw01,15,0,1,0,0,1
2170,Gabe Wright,WrigGa00,12,1,2,0,0,1
2171,Anthony Zettel,ZettAn00,13,0,1,0,0,1
2172,Lee Ziemba,ZiemLe00,6,0,2,0,0,1
2173,Joe Adams,AdamJo01,9,0,1,0,0,0
2174,Titus Adams,AdamTi00,2,0,1,0,0,0
2175,Roberto Aguayo,AguaRo00,16,0,1,0,0,0
2176,Rufus Alexander,AlexRu20,1,0,1,0,0,0
2177,Mario Alford,AlfoMa00,4,0,2,0,0,0
2178,Justin Anderson,AndeJu00,,,1,0,0,0
2179,Dri Archer,ArchDr00,20,0,2,0,0,0
2180,David Arkin,ArkiDa00,4,0,4,0,0,0
2181,Mark Asper,AspeMa00,7,0,2,0,0,0
2182,Demarcus Ayers,AyerDe00,2,1,1,0,0,0
2183,Jeff Baca,BacaJe00,4,0,1,0,0,0
2184,Kennard Backman,BackKe00,7,0,1,0,0,0
2185,Dallas Baker,BakeDa01,8,0,1,0,0,0
2186,Ervin Baldwin,BaldEr99,3,0,1,0,0,0
2187,Johnny Baldwin,BaldJo99,3,0,1,0,0,0
2188,Lonnie Ballentine,BallLo00,4,0,2,0,0,0
2189,Rashad Barksdale,BarkRa99,6,0,1,0,0,0
2190,Kirk Barton,BartKi20,1,0,1,0,0,0
2191,Trevor Bates,BateTr00,1,0,1,0,0,0
2192,Jeremy Beal,BealJe00,,,1,0,0,0
2193,Steve Beauharnais,BeauSt00,5,0,2,0,0,0
2194,Willie Beavers,BeavWi00,2,0,1,0,0,0
2195,Beau Bell,BellBe99,5,0,1,0,0,0
2196,Jacob Bender,BendJa20,2,0,1,0,0,0
2197,Charles Bennett,BennCh21,3,0,1,0,0,0
2198,Jake Bequette,BequJa00,8,0,2,0,0,0
2199,Jordan Bernstine,BernJo00,1,0,1,0,0,0
2200,Darnell Bing,BingDa00,5,0,2,0,0,0
2201,Ken Bishop,BishKe01,5,0,2,0,0,0
2202,Philip Blake,BlakPh00,,,1,0,0,0
2203,Travis Bond,BondTr00,2,0,1,0,0,0
2204,Alvin Bowen,BoweAl99,2,0,1,0,0,0
2205,John Bowie,BowiJo99,5,0,2,0,0,0
2206,Cory Boyd,BoydCo01,1,0,1,0,0,0
2207,Carl Bradford,BradCa01,6,0,1,0,0,0
2208,Tom Brandstater,BranTo00,1,0,1,0,0,0
2209,Daniel Braverman,BravDa00,3,0,1,0,0,0
2210,Robert Brewster,BrewRo20,1,0,1,0,0,0
2211,Brian Brohm,BrohBr00,3,2,2,0,0,0
2212,Durant Brooks,BrooDu20,6,0,1,0,0,0
2213,Kareem Brown,BrowKa99,1,0,1,0,0,0
2214,Levi Brown,BrowLe00,1,0,1,0,0,0
2215,Michael Buchanan,BuchMi00,18,0,2,0,0,0
2216,Michael Burton,BurtMi00,31,7,2,0,0,0
2217,Stephen Burton,BurtSt00,19,3,3,0,0,0
2218,Nate Bussey,BussNa00,1,0,1,0,0,0
2219,Nate Byham,ByhaNa00,29,8,3,0,0,0
2220,Dominique Byrd,ByrdDo00,17,0,3,0,0,0
2221,Trey Caldwell,CaldTr00,1,0,1,0,0,0
2222,Caleb Campbell,CampCa00,2,0,1,0,0,0
2223,Maurice Canady,CanaMa00,4,0,1,0,0,0
2224,Selvish Capers,CapeSe20,3,0,1,0,0,0
2225,Leonte Carroo,CarrLe00,14,2,1,0,0,0
2226,Alex Carter,CartAl01,1,0,1,0,0,0
2227,Shaun Chapas,ChapSh00,6,1,2,0,0,0
2228,Greg Childs,ChilGr00,,,1,0,0,0
2229,Gerald Christian,ChriGe00,3,0,1,0,0,0
2230,Corey Clark,ClarCo21,2,0,1,0,0,0
2231,Zach Clayton,ClayZa00,3,0,2,0,0,0
2232,Toney Clemons,ClemTo00,4,0,1,0,0,0
2233,Danny Coale,CoalDa00,,,1,0,0,0
2234,Chase Coffman,CoffCh00,39,3,6,0,0,0
2235,B.J. Coleman,ColeB.00,,,1,0,0,0
2236,Shon Coleman,ColeSh00,6,0,1,0,0,0
2237,Sanders Commings,CommSa00,2,0,1,0,0,0
2238,John Conner,ConnJo00,62,20,5,0,0,0
2239,Connor Cook,CookCo00,1,0,1,0,0,0
2240,Brandon Coutu,CoutBr00,1,0,1,0,0,0
2241,Michael Cox,CoxxMi00,18,1,2,0,0,0
2242,Shawn Crable,CrabSh99,6,0,1,0,0,0
2243,B.J. Cunningham,CunnB.00,2,0,2,0,0,0
2244,Justice Cunningham,CunnJu00,4,0,2,0,0,0
2245,Ryan D'Imperio,DImpRy00,12,1,1,0,0,0
2246,Joe Dahl,DahlJo00,6,0,1,0,0,0
2247,B.J. Daniels,DaniB.00,8,0,1,0,0,0
2248,P.J. Daniels,DaniP.00,1,0,1,0,0,0
2249,Andrew Datko,DatkAn00,,,1,0,0,0
2250,Bruce Davis,DaviBr99,15,0,3,0,0,0
2251,Chris Davis,DaviCh02,17,0,2,0,0,0
2252,Geremy Davis,DaviGe00,13,0,2,0,0,0
2253,Hall Davis,DaviHa21,1,0,1,0,0,0
2254,Trevor Davis,DaviTr03,11,0,1,0,0,0
2255,Will Davis,DaviWi02,20,0,4,0,0,0
2256,Everett Dawkins,DawkEv00,1,0,1,0,0,0
2257,Phillip Dillard,DillPh99,7,0,2,0,0,0
2258,K.J. Dillon,DillK.00,5,0,1,0,0,0
2259,Ahmad Dixon,DixoAh00,11,0,1,0,0,0
2260,Kevin Dorsey,DorsKe01,3,0,1,0,0,0
2261,Lorenzo Doss,DossLo00,12,0,2,0,0,0
2262,Lionel Dotson,DotsLi99,12,0,4,0,0,0
2263,Jonathan Dowling,DowlJo00,7,0,1,0,0,0
2264,Thomas Duarte,DuarTh00,1,0,1,0,0,0
2265,Drake Dunsmore,DunsDr00,,,1,0,0,0
2266,Ryan Durand,DuraRy20,1,0,1,0,0,0
2267,Jeremy Ebert,EberJe00,5,0,2,0,0,0
2268,A.J. Edds,EddsA.99,17,0,3,0,0,0
2269,Dominique Edison,EdisDo00,5,0,1,0,0,0
2270,Lac Edwards,EdwaLa01,16,0,1,0,0,0
2271,Michael Egnew,EgneMi00,18,5,2,0,0,0
2272,Brody Eldridge,EldrBr00,27,16,2,0,0,0
2273,Ricky Elmore,ElmoRi00,,,1,0,0,0
2274,Dedrick Epps,EppsDe00,6,0,2,0,0,0
2275,Tyler Ervin,ErviTy00,12,0,1,0,0,0
2276,Randall Evans,EvanRa00,1,0,1,0,0,0
2277,Bradie Ewing,EwinBr00,2,2,2,0,0,0
2278,Tayo Fabuluje,FabuTa00,4,0,1,0,0,0
2279,David Fales,FaleDa00,1,0,1,0,0,0
2280,J.D. Folsom,FolsJ.99,2,0,1,0,0,0
2281,Khairi Fortt,FortKh00,3,0,1,0,0,0
2282,Jalston Fowler,FowlJa00,32,7,2,0,0,0
2283,Reid Fragel,FragRe00,1,0,1,0,0,0
2284,Dustin Fry,FryxDu20,4,0,1,0,0,0
2285,Tim Fugger,FuggTi00,,,1,0,0,0
2286,Terrance Ganaway,GanaTe00,3,0,1,0,0,0
2287,Josh Gattis,GattJo99,4,0,1,0,0,0
2288,Thaddeus Gibson,GibsTh99,4,0,3,0,0,0
2289,Jarron Gilbert,GilbJa99,5,0,3,0,0,0
2290,Richard Gordon,GordRi00,35,5,5,0,0,0
2291,Doran Grant,GranDo00,3,0,1,0,0,0
2292,Garrett Grayson,GrayGa00,1,0,1,0,0,0
2293,Skyler Green,GreeSk20,11,0,3,0,0,0
2294,Chris Greenwood,GreeCh01,3,0,2,0,0,0
2295,Marion Grice,GricMa00,10,0,1,0,0,0
2296,Robert Griffin,GrifRo03,,,1,0,0,0
2297,Korey Hall,HallKo99,61,26,5,0,0,0
2298,Roy Hall,HallRo02,7,0,2,0,0,0
2299,Michael Hamlin,HamlMi99,12,0,2,0,0,0
2300,Brandon Hardin,HardBr01,,,1,0,0,0
2301,Chandler Harnish,HarnCh00,,,1,0,0,0
2302,Chris Harper,HarpCh00,4,0,1,0,0,0
2303,Jamie Harper,HarpJa01,23,0,2,0,0,0
2304,Justin Harper,HarpJu01,2,0,1,0,0,0
2305,Chris Harrington,HarrCh97,6,0,2,0,0,0
2306,Jeremy Harris,HarrJe02,7,0,2,0,0,0
2307,Ra'Shon Harris,HarrRa99,2,0,1,0,0,0
2308,Mike Hass,HassMi00,2,0,2,0,0,0
2309,Tanner Hawkinson,HawkTa00,6,0,3,0,0,0
2310,Matt Hazel,HazeMa01,5,1,1,0,0,0
2311,Temarrick Hemingway,HemiTe00,8,0,1,0,0,0
2312,Robert Henson,HensRo99,6,0,1,0,0,0
2313,Amarlo Herrera,HerrAm00,3,0,1,0,0,0
2314,Robert Herron,HerrRo00,8,0,1,0,0,0
2315,Rashard Higgins,HiggRa00,16,0,1,0,0,0
2316,Anthony Hill,HillAn00,12,2,2,0,0,0
2317,Jermale Hines,HineJe00,10,0,1,0,0,0
2318,Zach Hocker,HockZa00,8,0,1,0,0,0
2319,Brandon Hogan,HogaBr00,3,0,1,0,0,0
2320,Curtis Holcomb,HolcCu00,,,1,0,0,0
2321,DeAndre Houston-Carson,HousDe00,7,0,1,0,0,0
2322,Paul Hubbard,HubbPa00,1,1,1,0,0,0
2323,Otis Hudson,HudsOt20,,,1,0,0,0
2324,Brett Hundley,HundBr00,4,0,1,0,0,0
2325,Tony Hunt,HuntTo01,14,2,2,0,0,0
2326,Juaquin Iglesias,IgleJu00,1,0,1,0,0,0
2327,Jack Ikegwuonu,IkegJa99,1,0,1,0,0,0
2328,Joey Iosefa,IoseJo00,2,0,1,0,0,0
2329,Rod Issac,IssaRo00,3,0,1,0,0,0
2330,Prince Charles Iworah,IworPr00,1,0,1,0,0,0
2331,Andrew Jackson,JackAn00,,,1,0,0,0
2332,Dexter Jackson,JackDe01,7,0,1,0,0,0
2333,Stanley Jean-Baptiste,JeanSt00,4,0,1,0,0,0
2334,D.C. Jefferson,JeffD.00,4,0,1,0,0,0
2335,Quinton Jefferson,JeffQu00,3,0,1,0,0,0
2336,Brandon Jenkins,JenkBr00,5,0,1,0,0,0
2337,Adam Jennings,JennAd00,46,2,4,0,0,0
2338,Gartrell Johnson,JohnGa01,19,0,2,0,0,0
2339,Jaymar Johnson,JohnJa01,7,0,2,0,0,0
2340,Malcolm Johnson,JohnMa06,19,6,2,0,0,0
2341,Manuel Johnson,JohnMa04,2,0,1,0,0,0
2342,Marquis Johnson,JohnMa99,5,0,2,0,0,0
2343,Matt Johnson,JohnMa05,,,1,0,0,0
2344,Quinn Johnson,JohnQu00,44,13,5,0,0,0
2345,Ronald Johnson,JohnRo05,,,1,0,0,0
2346,Rufus Johnson,JohnRu02,1,0,1,0,0,0
2347,Storm Johnson,JohnSt03,6,1,1,0,0,0
2348,Brian Johnston,JohnBr98,9,0,1,0,0,0
2349,Cardale Jones,JoneCa01,1,0,1,0,0,0
2350,Marcel Jones,JoneMa03,,,1,0,0,0
2351,Josh Kaddu,KaddJo00,6,0,3,0,0,0
2352,Mike Kafka,KafkMi00,4,0,1,0,0,0
2353,Nick Kasa,KasaNi00,16,1,1,0,0,0
2354,Jordan Kent,KentJo20,14,1,2,0,0,0
2355,Sergio Kindle,KindSe99,3,0,2,0,0,0
2356,Akeem King,KingAk00,5,0,1,0,0,0
2357,David King,KingDa00,10,0,3,0,0,0
2358,Tavarres King,KingTa00,8,0,2,0,0,0
2359,Jammie Kirlew,KirlJa99,1,0,1,0,0,0
2360,David Kirtman,KirtDa00,7,0,2,0,0,0
2361,Jameson Konz,KonzJa00,1,0,1,0,0,0
2362,Troy Kropog,KropTr20,7,0,3,0,0,0
2363,Daniel Lasco,LascDa00,7,0,1,0,0,0
2364,Quinten Lawrence,LawrQu00,6,1,1,0,0,0
2365,Lazarius Levingston,LeviLa00,7,0,2,0,0,0
2366,Dezmin Lewis,LewiDe02,2,0,2,0,0,0
2367,Jonathan Lewis,LewiJo22,4,0,1,0,0,0
2368,Ronnell Lewis,LewiRo02,8,0,1,0,0,0
2369,Kapron Lewis-Moore,LewiKa00,5,0,1,0,0,0
2370,Korey Lindsey,LindKo00,,,1,0,0,0
2371,Greg Lloyd,LloyGr01,2,0,1,0,0,0
2372,Jerome Long,LongJe00,3,0,2,0,0,0
2373,Demarcus Love,LoveDe00,,,1,0,0,0
2374,Jordan Lucas,LucaJo00,8,0,1,0,0,0
2375,Terrell Manning,MannTe00,11,0,3,0,0,0
2376,Sean Mannion,MannSe00,2,0,2,0,0,0
2377,Owen Marecic,MareOw00,24,6,2,0,0,0
2378,James Marten,MartJa21,1,0,1,0,0,0
2379,Ingle Martin,MartIn00,1,0,1,0,0,0
2380,Tim Massaquoi,MassTi20,11,0,2,0,0,0
2381,Reagan Maui'a,MauiRe00,39,19,5,0,0,0
2382,Marcus Maxey,MaxeMa20,2,0,1,0,0,0
2383,Vince Mayle,MaylVi00,7,0,2,0,0,0
2384,Tre McBride,McBrTr00,9,0,2,0,0,0
2385,Greg McCoy,McCoGr00,,,1,0,0,0
2386,Dexter McDonald,McDoDe02,12,0,2,0,0,0
2387,Walter McFadden,McFaWa99,4,0,2,0,0,0
2388,Kenny McKinley,McKiKe00,8,0,1,0,0,0
2389,Reggie McNeal,McNeRe00,7,0,1,0,0,0
2390,Marvin McNutt,McNuMa00,5,0,2,0,0,0
2391,Caleb McSurdy,McSuCa00,,,1,0,0,0
2392,Taylor Mehlhaff,MehlTa99,3,0,1,0,0,0
2393,Kerry Meier,MeieKe00,12,0,2,0,0,0
2394,DeQuan Menzie,MenzDe00,,,1,0,0,0
2395,Gabe Miller,MillGa00,7,0,2,0,0,0
2396,Ryan Miller,MillRy00,8,0,1,0,0,0
2397,Martrez Milner,MilnMa00,8,2,1,0,0,0
2398,Carlton Mitchell,MitcCa00,16,0,2,0,0,0
2399,Marko Mitchell,MitcMa00,10,0,1,0,0,0
2400,Dontay Moch,MochDo00,8,0,3,0,0,0
2401,Nick Mondek,MondNi00,,,1,0,0,0
2402,Chris Moore,MoorCh00,15,0,1,0,0,0
2403,Joshua Moore,MoorJo99,3,0,1,0,0,0
2404,David Morgan,MorgDa01,11,0,1,0,0,0
2405,Deiontrez Mount,MounDe00,5,0,2,0,0,0
2406,Jonas Mouton,MoutJo00,3,0,1,0,0,0
2407,Kyle Murphy,MurpKy00,3,0,1,0,0,0
2408,Shawn Murphy,MurpSh20,1,0,1,0,0,0
2409,John Nalbone,NalbJo00,2,0,1,0,0,0
2410,Terna Nande,NandTe20,1,0,1,0,0,0
2411,Ryan Nassib,NassRy00,5,0,2,0,0,0
2412,A.J. Nicholson,NichA.20,2,0,1,0,0,0
2413,Troy Niklas,NiklTr00,26,7,3,0,0,0
2414,Louis Nix,NixILo00,4,0,1,0,0,0
2415,Taurean Nixon,NixoTa00,2,0,1,0,0,0
2416,Robert Nkemdiche,NkemRo00,6,0,1,0,0,0
2417,Slade Norris,NorrSl99,9,0,2,0,0,0
2418,Mark Nzeocha,NzeoMa00,7,0,2,0,0,0
2419,Jake O'Connell,OConJa00,35,8,4,0,0,0
2420,Kevin O'Connell,OConKe00,2,0,1,0,0,0
2421,Oren O'Neal,ONeaOr00,18,1,2,0,0,0
2422,Clint Oldenburg,OldeCl20,2,0,1,0,0,0
2423,Xavier Omon,OmonXa00,7,0,2,0,0,0
2424,Fendi Onobun,OnobFe00,4,0,2,0,0,0
2425,Babatunde Oshinowo,OshiBa20,2,0,2,0,0,0
2426,Jeff Owens,OwenJe20,1,0,1,0,0,0
2427,Chase Page,PageCh99,6,0,1,0,0,0
2428,Vinston Painter,PainVi00,8,0,2,0,0,0
2429,Jordan Palmer,PalmJo20,5,0,4,0,0,0
2430,Tony Palmer,PalmTo21,8,0,2,0,0,0
2431,Jordan Payton,PaytJo00,4,0,1,0,0,0
2432,Jeris Pendleton,PendJe00,5,0,2,0,0,0
2433,Tony Pike,PikeTo00,1,0,1,0,0,0
2434,Eric Pinkins,PinkEr00,11,0,2,0,0,0
2435,Jason Pociask,PociJa00,4,0,1,0,0,0
2436,Sean Porter,PortSe00,3,0,2,0,0,0
2437,John Potter,PottJo00,9,0,2,0,0,0
2438,Carlton Powell,PoweCa98,3,0,1,0,0,0
2439,Jay Prosch,ProsJa00,47,8,3,0,0,0
2440,Richard Quinn,QuinRi00,30,4,4,0,0,0
2441,D'Aundre Reed,ReedD'00,6,0,1,0,0,0
2442,Kalan Reed,ReedKa00,4,0,1,0,0,0
2443,Austin Reiter,ReitAu00,1,1,1,0,0,0
2444,Sean Renfree,RenfSe00,2,0,1,0,0,0
2445,Christian Ringo,RingCh00,7,0,1,0,0,0
2446,Adrien Robinson,RobiAd00,19,1,3,0,0,0
2447,Demarcus Robinson,RobiDe01,16,0,1,0,0,0
2448,Josh Robinson,RobiJo02,5,0,1,0,0,0
2449,Kevin Robinson,RobiKe00,8,0,1,0,0,0
2450,Ryne Robinson,RobiRy00,16,0,1,0,0,0
2451,Zac Robinson,RobiZa00,,,1,0,0,0
2452,Evan Rodriguez,RodrEv00,20,5,3,0,0,0
2453,Greg Romeus,RomeGr00,,,1,0,0,0
2454,Jeff Rowe,RoweJe00,2,0,1,0,0,0
2455,Martin Rucker,RuckMa00,12,2,4,0,0,0
2456,J.D. Runnels,RunnJ.00,2,0,1,0,0,0
2457,DeMarco Sampson,SampDe00,12,0,1,0,0,0
2458,Zebrie Sanders,SandZe00,,,1,0,0,0
2459,Robert Sands,SandRo00,1,0,2,0,0,0
2460,Dan Santucci,SantDa20,2,0,1,0,0,0
2461,Jalen Saunders,SaunJa00,15,0,1,0,0,0
2462,Roy Schuening,SchuRo20,1,0,1,0,0,0
2463,Jason Shirley,ShirJa99,7,0,2,0,0,0
2464,Mickey Shuler,ShulMi01,10,3,4,0,0,0
2465,Ian Silberman,SilbIa00,1,0,1,0,0,0
2466,Jason Slowey,SlowJa00,,,1,0,0,0
2467,Kiero Small,SmalKi00,3,3,1,0,0,0
2468,Brad Smelley,SmelBr00,4,0,2,0,0,0
2469,DeAndre Smelter,SmelDe00,2,0,1,0,0,0
2470,D'Joun Smith,SmitDJ00,5,0,2,0,0,0
2471,Kelvin Smith,SmitKe97,7,0,2,0,0,0
2472,Marcus Smith,SmitMa01,21,0,2,0,0,0
2473,Michael Smith,SmitMi01,1,0,1,0,0,0
2474,Tye Smith,SmitTy01,4,0,1,0,0,0
2475,Kristjan Sokoli,SokoKr00,1,0,1,0,0,0
2476,Isaac Sowells,SoweIs20,17,0,2,0,0,0
2477,Evan Spencer,SpenEv00,1,0,1,0,0,0
2478,Tre Stallings,StalTr20,1,0,1,0,0,0
2479,Isaiah Stanback,StanIs00,22,2,4,0,0,0
2480,Ricky Stanzi,StanRi00,,,1,0,0,0
2481,Tyler Starr,StarTy00,1,0,1,0,0,0
2482,Reggie Stephens,StepRe22,,,1,0,0,0
2483,Tommy Streeter,StreTo00,2,0,2,0,0,0
2484,Quan Sturdivant,SturQu00,,,1,0,0,0
2485,Vinnie Sunseri,SunsVi00,15,0,2,0,0,0
2486,Ryan Taylor,TaylRy00,59,2,4,0,0,0
2487,Randall Telfer,TelfRa00,14,5,1,0,0,0
2488,Jemea Thomas,ThomJe03,2,0,1,0,0,0
2489,Logan Thomas,ThomLo00,2,0,1,0,0,0
2490,Marcus Thomas,ThomMa01,5,0,1,0,0,0
2491,Mike Thomas,ThomMi04,15,0,1,0,0,0
2492,Christian Thompson,ThomCh01,7,0,1,0,0,0
2493,Darian Thompson,ThomDa05,2,1,1,0,0,0
2494,Mykkele Thompson,ThomMy00,1,0,1,0,0,0
2495,Taylor Thompson,ThomTa00,35,8,3,0,0,0
2496,Cole Toner,ToneCo00,2,0,1,0,0,0
2497,Spencer Toone,ToonSp20,3,0,1,0,0,0
2498,Tim Toone,ToonTi00,,,1,0,0,0
2499,Laquon Treadwell,TreaLa00,9,1,1,0,0,0
2500,Sebastian Tretola,TretSe00,1,0,1,0,0,0
2501,Nate Triplett,TripNa99,8,0,2,0,0,0
2502,Nick Vannett,VannNi00,8,2,1,0,0,0
2503,Chip Vaughn,VaugCh99,3,0,1,0,0,0
2504,Dan Vitale,VitaDa00,9,3,1,0,0,0
2505,Tray Walker,WalkTr00,8,0,1,0,0,0
2506,Jamar Wall,WallJa99,2,0,1,0,0,0
2507,Ed Wang,WangEd20,6,0,1,0,0,0
2508,Brandon Washington,WashBr00,1,0,2,0,0,0
2509,Chauncey Washington,WashCh00,11,0,4,0,0,0
2510,Brandon Watts,WattBr00,9,0,2,0,0,0
2511,Stephen Weatherly,WeatSt00,2,0,1,0,0,0
2512,Larry Webster,WebsLa00,1,0,1,0,0,0
2513,Ryan Whalen,WhalRy00,17,0,3,0,0,0
2514,Johnny White,WhitJo01,19,0,2,0,0,0
2515,Jordan White,WhitJo02,3,0,1,0,0,0
2516,Markus White,WhitMa01,5,0,2,0,0,0
2517,Brandon Williams,WillBr95,6,0,1,0,0,0
2518,Brandon Williams,WillBr01,23,0,2,0,0,0
2519,Derrick Williams,WillDe05,18,1,2,0,0,0
2520,Eddie Williams,WillEd00,6,0,2,0,0,0
2521,Jabara Williams,WillJa12,7,0,2,0,0,0
2522,Javarris Williams,WillJa05,4,0,2,0,0,0
2523,Keith Williams,WillKe04,2,0,1,0,0,0
2524,Malcolm Williams,WillMa01,4,0,2,0,0,0
2525,Michael Williams,WillMi06,15,9,1,0,0,0
2526,Paul Williams,WillPa00,5,0,1,0,0,0
2527,Trevardo Williams,WillTr02,3,0,1,0,0,0
2528,E.J. Wilson,WilsE.99,2,0,1,0,0,0
2529,Travis Wilson,WilsTr00,4,1,1,0,0,0
2530,Khalid Wooten,WootKh00,3,0,1,0,0,0
2531,Doug Worthington,WortDo99,8,0,2,0,0,0
2532,Scooby Wright,WrigSc00,3,0,1,0,0,0
2533,James Wyche,WychJa00,3,0,1,0,0,0
2534,Devon Wylie,WyliDe00,12,1,2,0,0,0
2535,David Yankey,YankDa00,6,0,1,0,0,0
2536,Keith Zinger,ZingKe20,15,2,1,0,0,0
2537,Nate Freese,FreeNa00,3,0,1,0,0,-1
2538,Jared Goff,GoffJa00,8,7,1,0,0,-2
2539,Ryan Lindley,LindRy00,10,6,3,0,0,-4
